Log,Surface Area (cm2),Volume (cm3),Weight (kg),Halo,Size_Group,X,Y,Xylophaga zierenbergi,Xylophaga concava,Xylopholas crooki,Gastropod 1,Gastropod 2,Gastropod 3,Gastropod 4,Gastropod 5,Gastropod 7,Limpet,Anemone_sm,Anemone_lg,Crinoid1,Crinoid,Ophiuroid,Bivalve,Poly1,Poly2,Poly3,Poly4,Poly6,Poly7,Poly8,Poly9,Poly10,Poly11,Tanaid1,Amphi1,Amphi2,Galatheid
3,772.3,1125.6,0.9,Present,small,6,20,,,,,3,,,,,,,,,,,,,,,1,,,,,,,180,1,,3
5,1367.4,2431.3,1.6,Absent,small,21,0,1,18,1,,,,,,,,,,1,,,,,,,,,,,,,,0,19,,1
6,1205.4,3151.6,1.7,Absent,small,3,0,6,3,,23,1,5,,6,1,6,,1,1,,,,,1,,2,,,,1,,,16,12,,1
7,1985.3,4631,2,Present,small,9,20,7,10,,,,,,2,,,,,,2,,,2,,,5,,,,,,,227,26,,2
10,1671.3,4502.3,2.2,Present,small,12,20,,,,,12,,,17,,1,,,,,,,38,56,6,10,5,1,,,,,360,,10,
11,2127.1,5949.5,2.3,Light,small,21,20,2,,,58,2,36,,14,2,8,,,2,,1,,3,19,3,2,4,,1,3,,,8,,,2
13,1557.3,4703.3,2.5,Absent,small,9,0,2,,,187,2,,,,,7,1,,1,,2,,1,,3,3,,,,,,,31,6,,9
18,2534.8,7782.6,4.6,Present,medium,0,20,2,,,12,8,,,5,,5,,,,,1,,,,,,,,,,,,91,,7,2
19,2165.1,5600.6,5.2,Present,medium,12,0,8,,,,,1,,6,,23,,,,,,,5,253,6,19,13,2,1,,1,1,455,,61,12
21,2200.5,6615.2,6.5,Absent,medium,18,0,2,,,115,,100,6,2,,2,2,,,,,,,2,,11,,,,,,,61,6,,3
22,2856.4,9493.5,8.2,Absent,medium,15,0,,,,138,5,15,12,5,,2,,,,,,,1,,,1,,,,,,,9,21,2,
26,3324.8,11956.9,9.7,Absent,medium,0,10,19,,,1,,,,4,,5,,,,,2,,1,41,1,6,1,,,,,,51,,9,4
27,4375.7,18935.6,13.5,Absent,large,0,0,,,,,23,,,37,,45,,,1,,,,,,,,,,,,,,13,,3,
30,4102.2,18755.5,14.7,Light,large,3,20,11,,,3,5,39,5,2,2,11,,,1,,,,,,,,,,,,,,36,,2,
32,3342.6,18009.4,15.6,Light,large,15,20,58,,,138,7,111,38,46,,19,12,,,,,1,11,,3,3,,,,,,,48,,,5
35,4294.7,18523.9,17.5,Present,large,6,0,2,,,208,7,422,249,3,,4,2,,,,3,,2,28,1,13,,,,1,,,65,,8,3
